epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,38019.7,1.00518,3.56646,0.33016,0.84817,1.17735,0.88092,0.8073,0.90792,0.68731,0.84494,0.73111,0.78709,0.47235,0.86615,2.63032,0.30893,0.64488,1.06446,0.003565,0.003565,0.003565
67,39730.6,1.00566,3.56055,0.32988,0.84624,1.1765,0.88255,0.8051,0.90817,0.68806,0.84863,0.73078,0.78889,0.47279,0.8654,2.6276,0.30859,0.64454,1.06406,0.003466,0.003466,0.003466
68,41441.9,1.00207,3.54045,0.32935,0.84032,1.1733,0.88341,0.80778,0.9086,0.68842,0.84592,0.73441,0.78918,0.47336,0.86439,2.6232,0.30831,0.64394,1.0632,0.003367,0.003367,0.003367
69,43152.7,1.00073,3.52607,0.32918,0.84093,1.17244,0.88542,0.80537,0.90867,0.6887,0.84575,0.7341,0.78898,0.47375,0.86429,2.6203,0.30797,0.64344,1.06315,0.003268,0.003268,0.003268
70,44866.1,0.99649,3.51975,0.32772,0.83718,1.17133,0.88628,0.80607,0.90904,0.68925,0.84573,0.73363,0.7889,0.47457,0.86384,2.61572,0.30752,0.64283,1.06272,0.003169,0.003169,0.003169
71,46587.7,0.99639,3.51209,0.32763,0.83332,1.16972,0.88583,0.80668,0.90896,0.68962,0.84771,0.73347,0.78931,0.47563,0.86311,2.61049,0.30703,0.64236,1.06208,0.00307,0.00307,0.00307
72,48297.9,0.99164,3.48565,0.32654,0.82897,1.16869,0.8887,0.80526,0.90898,0.69007,0.84635,0.73473,0.78941,0.47617,0.86209,2.60716,0.30674,0.64165,1.0612,0.002971,0.002971,0.002971
73,50008.4,0.99046,3.47436,0.3256,0.82916,1.16706,0.8878,0.80652,0.90917,0.69045,0.84771,0.73441,0.78929,0.47719,0.86104,2.60236,0.30628,0.64171,1.06066,0.002872,0.002872,0.002872
74,51733.7,0.98759,3.46274,0.32548,0.8242,1.16493,0.88841,0.8062,0.90938,0.69068,0.85128,0.73441,0.79068,0.4779,0.86057,2.59893,0.30607,0.64112,1.06018,0.002773,0.002773,0.002773
75,53446.8,0.98897,3.45044,0.32474,0.82385,1.16516,0.88629,0.80746,0.90933,0.69114,0.85153,0.7341,0.7922,0.47866,0.85982,2.59545,0.30569,0.64066,1.05943,0.002674,0.002674,0.002674
76,55158.1,0.98624,3.44265,0.32401,0.81746,1.16259,0.8845,0.80919,0.90933,0.69134,0.84808,0.73469,0.79084,0.47912,0.85939,2.59189,0.30525,0.64032,1.05885,0.002575,0.002575,0.002575
77,56869,0.98274,3.42641,0.32342,0.81584,1.16157,0.88828,0.80888,0.9096,0.69171,0.84837,0.73583,0.79106,0.47982,0.85834,2.58839,0.305,0.63957,1.05798,0.002476,0.002476,0.002476
78,58580.1,0.98127,3.41904,0.32253,0.81535,1.16016,0.88942,0.80914,0.90947,0.69226,0.84799,0.73866,0.79199,0.48044,0.85754,2.58439,0.30457,0.63918,1.0573,0.002377,0.002377,0.002377
79,60291.3,0.97684,3.41055,0.32265,0.81132,1.1581,0.88815,0.81129,0.90992,0.69331,0.84709,0.73958,0.79162,0.48159,0.85615,2.58205,0.30416,0.63885,1.0563,0.002278,0.002278,0.002278
80,62000.1,0.97447,3.39569,0.32142,0.80988,1.15814,0.88723,0.81131,0.90993,0.69328,0.84782,0.73914,0.79201,0.48211,0.85525,2.57789,0.30368,0.6381,1.05572,0.002179,0.002179,0.002179
