epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4517.16,1.3564,1.22547,1.41571,0.86179,0.82353,0.88186,0.54786,1.38935,0.88476,1.55519,0.0013169,0.0013169,0.0013169
71,4581.67,1.34497,1.24549,1.41787,0.88846,0.79638,0.88967,0.56432,1.31439,0.83354,1.47018,0.001307,0.001307,0.001307
72,4646.18,1.35711,1.21857,1.42523,0.90005,0.8371,0.91068,0.56518,1.40501,0.83604,1.55192,0.0012971,0.0012971,0.0012971
73,4710.66,1.33002,1.20664,1.40577,0.87882,0.80543,0.88782,0.55945,1.32606,0.86994,1.48645,0.0012872,0.0012872,0.0012872
74,4775.1,1.30414,1.17927,1.39237,0.90254,0.82805,0.90968,0.57414,1.28149,0.79903,1.46721,0.0012773,0.0012773,0.0012773
75,4839.74,1.3118,1.20463,1.39374,0.91394,0.81695,0.91775,0.58156,1.27414,0.8063,1.44685,0.0012674,0.0012674,0.0012674
76,4904.21,1.30823,1.16925,1.39102,0.8493,0.84163,0.88548,0.57003,1.2835,0.78122,1.51347,0.0012575,0.0012575,0.0012575
77,4968.65,1.30646,1.20793,1.39837,0.88432,0.82353,0.90263,0.57818,1.30936,0.77738,1.50195,0.0012476,0.0012476,0.0012476
78,5033.13,1.33454,1.18818,1.40642,0.89384,0.79638,0.90062,0.57202,1.28786,0.81136,1.46863,0.0012377,0.0012377,0.0012377
79,5097.69,1.31251,1.18058,1.38492,0.88994,0.8371,0.90302,0.57582,1.3101,0.7922,1.49586,0.0012278,0.0012278,0.0012278
80,5162.18,1.32625,1.18659,1.39054,0.88826,0.83258,0.93111,0.58803,1.29424,0.76479,1.49606,0.0012179,0.0012179,0.0012179
81,5226.55,1.29086,1.16356,1.37438,0.83793,0.86563,0.90165,0.58775,1.2869,0.82049,1.47511,0.001208,0.001208,0.001208
82,5290.96,1.27966,1.13123,1.36791,0.9422,0.8371,0.92762,0.60761,1.2433,0.74003,1.4538,0.0011981,0.0011981,0.0011981
83,5355.27,1.28391,1.13768,1.38451,0.92463,0.83258,0.92028,0.59652,1.28988,0.74846,1.47112,0.0011882,0.0011882,0.0011882
84,5419.7,1.29763,1.14176,1.38264,0.93731,0.81448,0.91019,0.58909,1.28627,0.77455,1.4719,0.0011783,0.0011783,0.0011783
85,5484.02,1.26617,1.11387,1.35381,0.93982,0.8009,0.92562,0.59418,1.25394,0.73536,1.45958,0.0011684,0.0011684,0.0011684
86,5548.43,1.27435,1.11467,1.35668,0.92748,0.83258,0.92362,0.59462,1.31324,0.79737,1.47512,0.0011585,0.0011585,0.0011585
87,5613.01,1.27527,1.11797,1.36108,0.90507,0.86425,0.93215,0.60149,1.2707,0.73219,1.45867,0.0011486,0.0011486,0.0011486
88,5677.36,1.25174,1.10172,1.35163,0.91849,0.81448,0.91414,0.5833,1.3359,0.79219,1.50831,0.0011387,0.0011387,0.0011387
89,5741.8,1.26245,1.09672,1.34082,0.92242,0.83258,0.91469,0.58671,1.24792,0.74976,1.4522,0.0011288,0.0011288,0.0011288
90,5806.3,1.26624,1.11579,1.34954,0.91865,0.8176,0.93157,0.5819,1.28212,0.74778,1.46181,0.0011189,0.0011189,0.0011189
91,5870.91,1.25341,1.09438,1.35169,0.92066,0.84012,0.92006,0.58975,1.24977,0.72847,1.4653,0.001109,0.001109,0.001109
92,5935.34,1.26,1.07803,1.34972,0.92674,0.85068,0.93179,0.58218,1.30616,0.75113,1.49062,0.0010991,0.0010991,0.0010991
93,5999.97,1.24073,1.09899,1.34331,0.88293,0.88688,0.92107,0.59961,1.26162,0.76595,1.46292,0.0010892,0.0010892,0.0010892
