epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,8943.44,1.12611,1.04741,1.31464,0.83436,0.85906,0.90297,0.59361,1.19598,0.78011,1.42502,0.00111392,0.00111392,0.00111392
83,9027.21,1.12367,1.05894,1.31754,0.90399,0.78991,0.90814,0.60184,1.17981,0.7732,1.42156,0.00110298,0.00110298,0.00110298
84,9111.07,1.11593,1.05411,1.31809,0.89021,0.78906,0.89687,0.59436,1.17676,0.80976,1.42752,0.00109204,0.00109204,0.00109204
85,9194.62,1.12381,1.04098,1.31326,0.84155,0.81982,0.89393,0.59565,1.19185,0.8535,1.42412,0.0010811,0.0010811,0.0010811
86,9278.18,1.11624,1.03141,1.30936,0.87549,0.80537,0.89124,0.58524,1.20479,0.80817,1.42807,0.00107017,0.00107017,0.00107017
87,9361.86,1.10436,1.0103,1.29092,0.90972,0.81157,0.88516,0.58341,1.17773,0.82221,1.44373,0.00105923,0.00105923,0.00105923
88,9445.64,1.11502,1.03287,1.30949,0.8805,0.81596,0.88487,0.59245,1.16927,0.76883,1.43518,0.00104829,0.00104829,0.00104829
89,9529.63,1.10422,1.01384,1.29954,0.91806,0.78523,0.89632,0.59885,1.17956,0.76959,1.44016,0.00103735,0.00103735,0.00103735
90,9612.97,1.11308,1.02803,1.30909,0.89926,0.83875,0.91029,0.60363,1.17259,0.79121,1.41584,0.00102641,0.00102641,0.00102641
91,9697.06,1.07669,0.98711,1.28692,0.88803,0.81879,0.90505,0.60891,1.17432,0.71626,1.43792,0.00101547,0.00101547,0.00101547
92,9780.83,1.09327,1.00389,1.28888,0.8317,0.82916,0.89539,0.59858,1.17511,0.76345,1.41748,0.00100453,0.00100453,0.00100453
93,9864.41,1.08568,0.98775,1.28958,0.87706,0.83557,0.90771,0.60758,1.19733,0.78579,1.41237,0.000993591,0.000993591,0.000993591
94,9946.57,1.08451,0.98097,1.28809,0.91056,0.80537,0.90675,0.60608,1.15667,0.74249,1.40707,0.000982652,0.000982652,0.000982652
95,10030.3,1.08157,0.98589,1.28925,0.90536,0.82886,0.90576,0.604,1.16427,0.73247,1.41608,0.000971713,0.000971713,0.000971713
96,10113.9,1.06316,0.95797,1.26915,0.88699,0.84283,0.91506,0.60824,1.15929,0.72007,1.40747,0.000960773,0.000960773,0.000960773
97,10197.6,1.05714,0.94298,1.26105,0.88347,0.83557,0.90479,0.60133,1.20976,0.8439,1.42587,0.000949834,0.000949834,0.000949834
98,10281,1.08601,0.9615,1.27761,0.87741,0.84899,0.91742,0.60456,1.20367,0.72722,1.40811,0.000938895,0.000938895,0.000938895
99,10364.3,1.05592,0.95059,1.26809,0.89353,0.83557,0.9119,0.61396,1.17518,0.75073,1.40205,0.000927956,0.000927956,0.000927956
100,10448,1.07426,0.96805,1.27847,0.88036,0.82886,0.90004,0.59208,1.18301,0.76913,1.42004,0.000917017,0.000917017,0.000917017
101,10531.7,1.07082,0.96512,1.29463,0.86637,0.84852,0.90384,0.59936,1.18481,0.78272,1.42286,0.000906077,0.000906077,0.000906077
102,10615.3,1.04838,0.9421,1.24487,0.91258,0.84075,0.9191,0.61581,1.16559,0.72941,1.40231,0.000895138,0.000895138,0.000895138
103,10698.7,1.06175,0.95357,1.25838,0.88438,0.84702,0.91985,0.60416,1.18359,0.70152,1.41087,0.000884199,0.000884199,0.000884199
104,10782.4,1.06297,0.93263,1.265,0.9104,0.81831,0.9164,0.60855,1.17323,0.68499,1.39682,0.00087326,0.00087326,0.00087326
105,10865.9,1.04689,0.95645,1.26275,0.90742,0.82231,0.90988,0.61832,1.16084,0.73569,1.40121,0.00086232,0.00086232,0.00086232
106,10949.4,1.06921,0.95379,1.29503,0.89899,0.83623,0.91137,0.61843,1.16024,0.7109,1.39965,0.000851381,0.000851381,0.000851381
107,11032.6,1.04027,0.92869,1.25574,0.82966,0.87919,0.91014,0.60585,1.17534,0.77887,1.40187,0.000840442,0.000840442,0.000840442
108,11116.1,1.04055,0.91787,1.2485,0.89076,0.84825,0.90717,0.60471,1.18715,0.73942,1.41818,0.000829503,0.000829503,0.000829503
109,11199.7,1.04587,0.92616,1.25213,0.89872,0.83378,0.90908,0.61652,1.14155,0.69316,1.4034,0.000818564,0.000818564,0.000818564
110,11283.4,1.02099,0.91835,1.24432,0.93102,0.81522,0.90881,0.61227,1.16483,0.69277,1.39904,0.000807624,0.000807624,0.000807624
111,11366.5,1.02948,0.89537,1.24188,0.89827,0.8297,0.9117,0.61429,1.19109,0.72474,1.42175,0.000796685,0.000796685,0.000796685
112,11450,1.02893,0.90049,1.24288,0.88347,0.84899,0.9166,0.62515,1.15576,0.6877,1.41135,0.000785746,0.000785746,0.000785746
113,11533.5,1.0316,0.90969,1.24918,0.89843,0.83109,0.91489,0.615,1.16065,0.75213,1.4028,0.000774807,0.000774807,0.000774807
114,11617.2,1.02826,0.89321,1.23995,0.89557,0.83454,0.91808,0.61652,1.1623,0.68617,1.41344,0.000763867,0.000763867,0.000763867
115,11700.4,1.03502,0.91988,1.25122,0.90975,0.81187,0.92118,0.61595,1.13072,0.69646,1.39584,0.000752928,0.000752928,0.000752928
116,11783.8,1.02177,0.88556,1.24248,0.85827,0.84564,0.91483,0.62791,1.13908,0.69627,1.39201,0.000741989,0.000741989,0.000741989
